1	3	1	5	2016
1	3	3	5	2016
1	12	4	5	2016
1	21	8	5	2016
1	3	9	5	2016
1	11	9	5	2016
1	3	11	5	2016
1	3	11	5	2016
1	8	12	5	2016
1	11	12	5	2016
1	12	13	5	2016
1	12	14	5	2016
1	12	15	5	2016
1	3	16	5	2016
1	3	16	5	2016
1	12	16	5	2016
1	11	17	5	2016
1	12	17	5	2016
1	12	17	5	2016
1	12	17	5	2016
1	12	18	5	2016
1	6	19	5	2016
1	6	19	5	2016
1	12	19	5	2016
1	12	19	5	2016
1	12	19	5	2016
1	12	20	5	2016
1	12	20	5	2016
1	6	21	5	2016
1	12	21	5	2016
1	3	22	5	2016
1	11	22	5	2016
1	12	22	5	2016
1	15	22	5	2016
1	15	22	5	2016
1	11	23	5	2016
1	11	23	5	2016
1	12	23	5	2016
1	12	23	5	2016
1	12	23	5	2016
1	11	24	5	2016
1	11	24	5	2016
1	11	24	5	2016
1	12	24	5	2016
1	12	24	5	2016
1	11	25	5	2016
1	11	25	5	2016
1	12	25	5	2016
1	12	25	5	2016
1	8	26	5	2016
1	11	26	5	2016
1	11	26	5	2016
1	11	26	5	2016
1	12	26	5	2016
1	3	27	5	2016
1	3	27	5	2016
1	3	27	5	2016
1	6	27	5	2016
1	6	27	5	2016
1	11	27	5	2016
1	12	27	5	2016
1	11	28	5	2016
1	11	28	5	2016
1	11	28	5	2016
1	11	28	5	2016
1	11	28	5	2016
1	11	29	5	2016
1	11	29	5	2016
1	11	29	5	2016
1	8	30	5	2016
1	11	30	5	2016
1	17	30	5	2016
1	3	31	5	2016
1	8	31	5	2016
1	11	31	5	2016
1	12	1	6	2016
1	6	2	6	2016
1	6	2	6	2016
1	11	2	6	2016
1	12	2	6	2016
1	12	2	6	2016
1	17	2	6	2016
1	12	3	6	2016
1	17	3	6	2016
1	15	6	6	2016
1	3	8	6	2016
1	3	9	6	2016
1	12	9	6	2016
1	3	15	6	2016
4	3	7	5	2016
4	14	8	5	2016
4	10	12	5	2016
4	10	13	5	2016
4	16	13	5	2016
4	16	13	5	2016
4	11	15	5	2016
4	14	18	5	2016
4	10	22	5	2016
4	10	25	5	2016
4	10	31	5	2016
4	3	7	6	2016
4	3	9	6	2016
4	10	12	6	2016
4	10	12	6	2016
4	10	12	6	2016
4	10	13	6	2016
4	10	13	6	2016
4	3	18	6	2016
4	14	18	6	2016
4	19	20	6	2016
4	10	21	6	2016
4	10	21	6	2016
4	21	22	6	2016
4	3	23	6	2016
4	3	24	6	2016
4	3	24	6	2016
4	3	27	6	2016
4	10	29	6	2016
4	10	30	6	2016
4	3	1	7	2016
4	8	2	7	2016
4	14	5	7	2016
4	10	7	7	2016
5	10	1	5	2016
5	10	3	5	2016
5	11	8	5	2016
5	8	12	5	2016
5	8	6	6	2016
5	3	8	6	2016
5	12	10	6	2016
5	10	13	6	2016
6	8	2	5	2016
6	10	2	5	2016
6	11	4	5	2016
6	12	4	5	2016
6	10	5	5	2016
6	10	6	5	2016
